Conflict,Start,End,Country,Color
Georgian Civil War,1991-12-22,1993-12-31,Georgia,#D3D3D3
South Ossetian War,1991-01-05,1992-06-24,Georgia,#D3D3D3
War in Abkhazia,1992-08-14,1993-09-27,Georgia,#D3D3D3
Transnistria War,1990-11-02,1992-07-21,Moldova,#D3D3D3
East Prigorodny conflict,1992-10-30,1992-11-06,Russia,#D3D3D3
Tajikistani Civil War,1992-05-05,1997-06-27,Tajikistan,#D3D3D3
First Chechen War,1994-12-11,1996-08-31,Russia,#D3D3D3
War of Dagestan,1999-09-14,1999-08-07,Russia,#D3D3D3
Second Chechen War,1999-08-07,2009-04-16,Russia,#D3D3D3
Russo Georgian War,2008-08-07,2008-08-12,Russia,#D3D3D3
Insurgency in the North Caucasus,2009-04-16,2017-12-19,Russia,#D3D3D3
Russo Ukrainian War,2014-02-20,2023-06-17,Ukraine,#FFA500
Russian Military intervention in the Syrian Civil War,2015-09-30,2023-06-17,Syria,#FFA500
Central African Republic Civil War,2012-12-10,2023-06-17,Central African Republic,#FFA500
Mali War,2021-05-24,2023-06-17,Mali,#FFA500